ANID,Alt_ID,Standard,Investigator,Source,Region,Country,State/Province,County/District,Subregion,Site_Name,Site_Number,Material,Ware,Ceramic_Type,Form,Exterior_Decoration,Interior_Decoration,Paste_Color,Major_Temper,Minor_Temper,Culture,Context,Provenience,Era/Period,Date_Range,Picture,Comments,Notes,Chemgrp,Spare_ANID,Long_RDF,Long_Date,Short_RDF,Short_Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
GMP112,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP112,AMC3,04/20/14,AQT2-S,04/24/14,12.680,27.136,0.335,22.599,5.175,3.916,2.258,54.461,10.069,32.737,6.630,1.039,34451.7,5.328,0.000,81.349,2.864,14.493,219.978,0.755,0.644,10.450,121.534,146.171,83705.4,433.3,19876.8,3.551,19387.4,554.9,14334.4,4221.0,103.5
GMP113,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP113,AMC3,04/20/14,AQT2-S,04/24/14,14.693,22.174,0.345,21.889,5.012,2.230,2.195,46.446,12.285,34.350,9.908,1.016,42907.5,4.088,0.000,117.374,2.670,16.246,118.102,0.759,0.708,11.087,139.272,107.738,92545.2,428.4,11799.5,3.692,26870.3,584.8,15449.2,4256.3,123.2
GMP114,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP114,AMC3,04/20/14,AQT2-S,04/24/14,20.025,21.941,0.327,21.735,4.974,3.255,2.317,46.390,9.689,35.095,7.983,0.975,35810.4,4.419,0.000,106.020,2.277,16.523,359.868,0.703,0.593,9.959,136.485,130.858,85008.1,627.6,13989.3,3.528,27437.4,510.4,16088.9,4025.0,98.6
GMP115,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP115,AMC3,04/20/14,AQT2-S,04/24/14,14.870,24.253,0.316,23.356,5.209,2.782,2.312,43.323,12.533,30.745,7.632,1.037,39271.4,4.725,0.000,109.425,2.787,15.532,170.978,0.670,0.756,9.026,115.388,93.912,86457.5,487.3,14193.9,3.406,33586.1,712.9,15850.2,3695.7,108.8
GMP116,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP116,AMC3,04/20/14,AQT2-S,04/24/14,12.002,23.312,0.319,22.746,5.141,3.005,2.380,49.880,12.574,30.494,8.923,1.073,38406.0,3.894,0.000,110.372,2.943,15.848,191.935,0.575,0.616,10.802,118.499,88.907,86980.3,563.7,16229.8,3.721,27246.3,717.6,11477.5,4584.6,121.5
GMP117,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP117,AMC3,04/20/14,AQT2-S,04/24/14,22.610,32.167,0.349,28.839,6.181,3.331,2.531,65.907,12.837,36.537,8.611,1.235,40145.5,4.771,38.101,94.368,3.762,15.717,178.767,0.756,0.850,10.249,124.399,155.299,88300.8,509.1,13741.7,4.455,22005.7,788.6,16727.0,4263.5,121.7
GMP118,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP118,AMC3,04/20/14,AQT2-S,04/24/14,21.667,27.043,0.424,25.579,5.819,4.025,2.646,55.610,15.635,36.111,9.730,1.167,44729.8,4.977,0.000,112.344,3.074,17.703,194.175,0.749,0.672,11.862,129.500,146.813,99589.0,491.9,14391.2,3.913,22413.2,974.4,13650.3,5179.4,127.4
GMP119,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP119,AMC3,04/20/14,AQT2-S,04/24/14,13.074,30.913,0.358,26.162,5.717,3.488,2.305,61.691,10.981,32.923,6.758,1.188,36228.9,5.219,0.000,75.602,2.369,14.571,289.236,0.828,0.808,9.496,101.345,125.348,79285.2,451.6,37814.4,3.456,19810.6,738.1,16336.4,3938.1,111.2
GMP120,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP120,AMC3,04/20/14,AQT2-S,04/24/14,14.904,22.460,0.312,22.165,4.884,2.503,2.201,43.405,12.033,31.684,8.917,1.000,39890.4,3.916,0.000,111.307,2.909,15.328,152.104,0.618,0.593,9.534,130.042,98.723,88012.8,483.5,12136.4,3.959,25985.2,700.9,15151.2,4344.4,113.8
GMP121,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP121,AMC3,04/20/14,AQT2-S,04/24/14,16.316,21.871,0.368,21.240,4.858,2.839,2.428,45.354,12.926,31.871,8.076,1.000,39629.1,4.848,0.000,109.284,2.845,15.867,141.333,0.652,0.785,10.737,115.962,101.793,90773.5,538.0,14109.1,3.302,21227.2,793.6,12693.5,4634.4,102.4
GMP122,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP122,AMC3,04/20/14,AQT2-S,04/24/14,10.875,29.509,0.384,24.081,5.151,3.410,2.397,56.135,9.715,29.793,6.551,1.077,35895.9,5.494,0.000,76.611,2.258,14.106,270.133,0.919,0.679,11.173,119.376,140.592,78809.2,388.6,24358.5,3.598,21927.2,590.5,17676.1,4647.4,108.6
GMP123,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP123,AMC3,04/20/14,AQF1-S,04/25/14,13.731,27.173,0.388,25.299,5.171,3.180,2.857,52.402,11.947,34.874,7.915,1.092,36691.0,4.832,0.000,88.713,2.788,14.993,195.146,0.820,0.709,10.308,143.577,125.267,83702.5,534.4,17408.5,3.609,26764.0,621.6,18965.2,4395.8,99.7
GMP124,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP124,AMC3,04/20/14,AQF1-S,04/25/14,31.443,20.214,0.289,21.688,5.587,14.887,2.045,43.776,10.429,24.693,7.723,0.899,35928.0,3.897,0.000,99.220,2.345,13.511,235.286,0.627,0.586,10.884,116.643,153.806,83864.9,532.2,17879.9,3.223,26711.8,629.7,16114.7,3719.1,102.3
GMP125,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP125,AMC3,04/20/14,AQF1-S,04/25/14,11.853,25.847,0.361,22.801,5.289,2.573,2.482,52.766,12.622,35.819,8.359,1.041,41012.5,4.764,0.000,106.797,2.421,15.965,135.559,0.788,0.888,11.737,122.423,85.876,86945.9,438.3,13484.1,3.820,25899.1,740.2,15865.9,5402.8,128.9
GMP126,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP126,AMC3,04/20/14,AQF1-S,04/25/14,18.695,25.890,0.361,26.440,5.863,3.220,2.528,55.321,15.158,30.695,8.103,1.232,41264.3,4.028,18.442,96.638,3.050,17.297,177.715,0.721,0.848,10.888,119.834,91.865,92416.7,527.5,11213.4,4.259,17910.1,899.3,15366.6,5233.5,106.4
GMP127,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP127,AMC3,04/20/14,AQF1-S,04/25/14,13.512,26.746,0.384,23.138,5.484,3.609,3.090,52.471,10.402,34.425,7.278,1.108,36788.6,6.312,0.000,96.490,2.513,14.563,186.220,0.743,0.757,12.219,111.425,185.647,85437.2,480.3,14390.6,4.058,24627.1,587.7,16860.3,4689.2,101.1
GMP128,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP128,AMC3,04/20/14,AQF1-S,04/25/14,14.935,21.663,0.360,21.545,5.258,2.862,2.441,45.552,11.050,30.840,8.295,1.049,40019.3,4.085,0.000,107.163,2.635,15.467,185.095,0.700,0.593,10.915,120.994,119.990,87121.1,472.4,12430.3,3.293,23532.5,649.9,15717.0,3892.1,109.7
GMP129,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP129,AMC3,04/20/14,AQF1-S,04/25/14,10.230,27.794,0.418,26.979,5.835,3.871,3.138,56.729,11.191,37.367,7.567,1.158,37132.8,5.863,0.000,100.687,2.472,15.828,303.464,0.805,0.882,10.690,145.082,158.610,83243.2,487.6,30006.0,4.365,20282.7,590.0,14559.4,4972.6,121.1
GMP130,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP130,AMC4,04/20/14,AQF1-S,04/25/14,17.856,20.473,0.437,18.077,4.563,6.229,1.912,43.624,10.716,27.101,7.277,0.939,35221.5,3.793,77.689,101.927,2.298,13.773,168.961,0.623,0.580,8.049,108.200,139.982,85802.2,500.9,15869.1,3.697,22276.1,696.0,14589.3,4575.5,101.0
GMP131,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP131,AMC4,04/20/14,AQF1-S,04/25/14,18.990,27.373,0.385,25.066,5.695,3.213,2.352,56.399,14.082,39.586,8.708,1.175,44115.9,5.165,0.000,99.021,2.839,16.308,209.604,0.792,0.682,10.299,132.175,151.953,89426.5,493.5,16410.3,4.069,20839.2,855.3,13275.5,4448.4,135.7
GMP132,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP132,AMC4,04/20/14,AQF1-S,04/25/14,13.555,23.991,0.365,20.346,5.199,2.833,2.365,50.026,13.254,31.654,8.862,1.085,40960.9,4.316,0.000,113.882,3.037,16.562,183.473,0.642,0.792,10.656,114.851,121.294,90005.0,509.5,13092.3,4.494,25425.8,742.5,14332.6,4789.1,117.7
GMP133,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP133,AMC4,04/20/14,AQF1-S,04/25/14,10.867,25.891,0.372,22.655,5.521,2.617,2.377,53.982,13.610,32.185,8.939,1.169,41913.1,3.991,0.000,110.263,3.152,16.725,191.977,0.703,0.681,11.685,122.335,103.739,97862.3,547.6,13196.0,3.952,21499.4,960.0,11020.3,4705.5,132.7
GMP134,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP134,AMC4,04/20/14,AQF1-S,04/25/14,12.009,30.003,0.381,24.262,5.505,3.287,2.256,60.149,10.938,30.670,7.005,1.130,36736.8,5.141,0.000,79.074,2.425,14.174,274.714,0.892,0.688,9.256,103.470,143.345,76184.3,358.4,42816.2,3.434,17758.3,761.5,16337.4,4882.0,105.1
GMP135,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP135,AMC4,04/20/14,AQF1-S,04/25/14,13.260,22.815,0.360,20.020,4.923,3.447,2.102,48.149,12.177,32.358,8.420,0.955,39201.1,3.712,0.000,109.588,2.125,15.242,158.425,0.610,0.583,11.520,122.148,106.564,91156.8,453.3,14099.0,3.376,22731.7,665.4,15055.6,5685.0,118.9
GMP136,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP136,AMC4,04/20/14,AQF1-S,04/25/14,11.513,24.615,0.334,22.000,5.363,2.384,2.296,50.837,13.586,32.041,8.243,1.054,41421.2,4.359,0.000,112.836,2.919,15.972,194.841,0.692,0.752,10.628,126.645,99.848,84425.4,448.2,14854.2,3.821,36850.4,736.6,16627.2,3750.7,108.9
GMP137,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP137,AMC4,04/20/14,AQF1-S,04/25/14,16.458,26.333,0.372,21.315,5.111,3.033,2.282,49.899,13.103,37.463,7.628,1.069,40625.2,6.175,0.000,91.551,2.830,14.722,248.810,0.847,0.636,10.711,116.085,162.565,83120.7,422.5,14431.1,5.743,20881.9,875.4,17869.3,4060.4,118.5
GMP138,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP138,AMC4,04/20/14,AQF1-S,04/25/14,53.558,31.398,0.568,29.570,6.295,11.072,2.702,68.575,14.606,36.444,8.997,1.099,48699.0,4.333,0.000,107.715,2.934,18.385,234.223,0.774,0.697,12.581,136.403,171.727,95661.5,627.9,14312.7,4.541,23688.6,859.3,15366.2,5011.2,171.4
GMP139,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP139,AMC4,04/20/14,AQF1-S,04/25/14,20.855,28.169,0.395,23.073,5.195,2.932,2.297,55.090,12.385,36.394,8.078,1.098,39586.9,5.494,0.000,93.709,3.052,14.850,136.366,0.749,0.640,10.089,123.935,134.381,82740.5,517.9,12050.6,3.516,20176.4,805.2,17623.6,3623.2,118.3
GMP140,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP140,AMC4,04/20/14,AQF1-S,04/25/14,12.833,26.715,0.427,24.612,5.643,2.985,2.699,55.928,11.226,30.230,5.690,1.174,34351.8,6.815,0.000,91.503,2.187,13.921,235.465,0.817,0.743,10.129,94.477,195.024,77532.8,482.7,19397.3,4.498,24834.7,548.9,18186.0,4163.5,106.5
GMP141,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP141,AMC4,04/20/14,AQF1-S,04/25/14,19.815,22.413,0.341,22.035,4.838,3.113,2.137,46.627,13.288,32.598,8.046,1.040,36962.6,4.720,0.000,90.410,3.429,14.764,233.269,0.626,0.575,8.669,94.860,127.775,87822.7,487.5,17591.4,3.581,19890.6,611.4,20031.9,4709.8,97.0
GMP142,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP142,AMC4,04/20/14,AQF1-S,04/25/14,16.438,23.966,0.344,20.605,5.239,2.339,2.774,50.376,14.982,32.023,8.722,1.072,43762.9,3.557,25.320,106.166,2.782,17.640,145.986,0.641,1.007,11.986,118.584,100.895,92605.8,484.3,11660.1,3.933,23681.7,848.6,15647.0,4774.9,110.3
GMP143,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP143,AMC4,04/20/14,AQF1-S,04/25/14,14.956,20.639,0.333,19.108,4.807,2.848,2.171,43.504,13.752,32.552,8.153,0.997,44020.4,5.137,0.000,103.385,2.867,16.427,150.708,0.694,0.693,10.768,119.847,129.652,93784.1,424.1,13511.0,3.722,21588.4,722.6,15283.8,4323.1,119.9
GMP144,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP144,AMC4,04/20/14,AQF1-S,04/25/14,15.912,23.528,0.378,21.634,5.353,3.448,2.320,49.043,13.915,30.827,7.823,1.062,40169.6,4.284,0.000,101.272,2.978,16.140,160.820,0.646,0.704,10.425,120.912,117.920,92269.7,483.2,21462.2,3.623,24155.2,898.0,13653.3,4175.7,116.5
GMP145,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP145,AMC4,04/20/14,AQF1-S,04/25/14,16.633,23.588,0.367,24.443,5.409,3.111,2.627,47.992,14.336,35.473,9.772,1.020,46998.9,4.568,0.000,116.833,2.980,16.898,124.737,0.720,0.663,14.330,134.910,111.007,97562.6,384.1,10647.4,3.753,26751.3,853.5,14946.9,5475.8,103.3
GMP146,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP146,AMC4,04/20/14,AQF1-S,04/25/14,11.267,26.153,0.373,25.157,5.899,3.326,2.450,53.731,12.590,34.909,8.985,1.223,41045.2,4.103,0.000,106.725,2.376,16.193,111.785,0.691,0.933,10.633,124.608,101.623,96185.4,406.9,11623.1,3.873,24759.4,649.8,15879.6,4413.1,119.0
GMP147,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP147,AMC4,04/20/14,AQF1-S,04/25/14,23.058,20.823,0.341,20.982,4.933,3.821,2.214,44.431,9.665,37.029,8.302,1.009,38810.3,4.300,0.000,107.537,2.542,16.382,511.791,0.675,0.921,10.387,146.182,130.263,86980.3,692.1,16839.6,3.528,24780.7,611.9,17338.9,5030.3,104.7
GMP148,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP148,AMC4,04/20/14,AQF1-S,04/25/14,20.931,29.751,0.373,27.303,5.506,4.523,2.543,59.079,11.930,39.041,10.293,1.017,45405.2,3.310,0.000,116.984,2.395,17.245,170.052,0.695,0.669,11.717,132.566,88.580,94577.2,469.7,10550.9,3.708,27486.4,558.9,16955.0,4389.3,133.4
GMP149,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP149,AMC4,04/20/14,AQF1-S,04/25/14,18.286,29.081,0.381,26.946,5.338,3.600,2.075,58.258,10.629,33.517,8.105,1.023,36859.7,4.080,0.000,108.159,2.471,16.216,213.924,0.655,0.818,10.768,128.707,129.680,89150.2,484.3,12481.3,3.688,26793.7,540.2,16118.8,4090.1,90.9
GMP150,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP150,AMC4,04/20/14,AQF1-S,04/25/14,15.640,22.413,0.343,22.814,4.971,3.560,2.108,47.003,10.535,30.635,8.158,0.993,35630.8,4.235,0.000,112.064,2.472,15.559,220.701,0.632,0.653,10.313,134.838,125.149,85208.6,513.0,14520.8,4.051,25882.2,559.0,17105.0,4000.0,101.3
GMP151,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP151,AMD1,04/27/14,AQF1-S,04/25/14,22.629,25.765,0.447,22.687,5.774,3.031,2.690,55.883,15.687,32.868,8.228,1.183,45777.1,4.455,0.000,103.339,3.204,17.783,183.254,0.697,0.774,11.733,111.468,127.295,96253.4,495.7,17625.2,3.989,20485.9,1017.0,18843.0,4704.4,134.5
GMP152,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP152,AMD1,04/27/14,AQF1-S,04/25/14,21.313,25.298,0.382,22.564,5.218,3.456,2.524,52.469,12.794,34.950,7.544,1.160,39368.0,4.679,0.000,95.513,3.002,14.607,214.228,0.708,0.647,9.196,110.741,142.265,79938.6,547.8,13607.4,3.397,21987.0,800.7,16216.1,3884.8,131.4
GMP153,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP153,AMD1,04/27/14,AQF1-S,04/25/14,39.746,27.786,0.674,27.982,6.411,9.548,2.475,61.566,16.008,33.748,8.054,1.239,45764.4,4.514,0.000,100.203,2.769,17.004,198.603,0.695,0.697,11.958,113.249,156.297,91820.9,579.4,13057.0,4.440,20493.9,971.5,18940.6,4319.0,137.2
GMP154,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP154,AMD1,04/27/14,AQF2-S,04/25/14,17.058,27.297,0.428,24.174,5.635,3.738,2.512,56.555,13.855,35.147,8.060,1.212,40956.2,4.112,0.000,105.495,2.683,15.682,159.913,0.663,0.704,10.951,113.634,111.544,85633.9,568.6,10253.8,3.738,20747.8,714.2,16345.7,4585.5,125.2
